start_date,end_date,action
2026-03-23 09:55:21,2026-03-23 09:55:31,NORMAL
2026-03-23 09:55:31,2026-03-23 09:55:41,NORMAL
2026-03-23 09:55:41,2026-03-23 09:55:51,NORMAL
2026-03-23 09:55:51,2026-03-23 09:56:01,NORMAL
2026-03-23 09:56:01,2026-03-23 09:56:11,NORMAL
2026-03-23 09:56:11,2026-03-23 09:56:21,NORMAL
2026-03-23 09:56:21,2026-03-23 09:56:31,NORMAL
2026-03-23 09:56:31,2026-03-23 09:56:41,NORMAL
2026-03-23 09:56:41,2026-03-23 09:56:51,NORMAL
2026-03-23 09:56:51,2026-03-23 09:57:01,NORMAL
2026-03-23 09:57:01,2026-03-23 09:57:11,NORMAL
2026-03-23 09:57:11,2026-03-23 09:57:21,NORMAL
2026-03-23 09:57:21,2026-03-23 09:57:31,NORMAL
2026-03-23 09:57:31,2026-03-23 09:57:41,NORMAL
2026-03-23 09:57:41,2026-03-23 09:57:51,NORMAL
2026-03-23 09:57:51,2026-03-23 09:58:01,NORMAL
2026-03-23 09:58:01,2026-03-23 09:58:11,NORMAL
2026-03-23 09:58:11,2026-03-23 09:58:21,NORMAL
2026-03-23 09:58:21,2026-03-23 09:58:31,NORMAL
2026-03-23 09:58:31,2026-03-23 09:58:41,NORMAL
2026-03-23 09:58:41,2026-03-23 09:58:51,NORMAL
2026-03-23 09:58:51,2026-03-23 09:59:01,NORMAL
2026-03-23 09:59:01,2026-03-23 09:59:11,NORMAL
2026-03-23 09:59:11,2026-03-23 09:59:21,NORMAL
2026-03-23 09:59:21,2026-03-23 09:59:31,NORMAL
2026-03-23 09:59:31,2026-03-23 09:59:41,NORMAL
2026-03-23 09:59:41,2026-03-23 09:59:51,NORMAL
2026-03-23 09:59:51,2026-03-23 10:00:01,NORMAL
2026-03-23 10:00:01,2026-03-23 10:00:11,NORMAL
2026-03-23 10:00:11,2026-03-23 10:00:21,NORMAL
2026-03-23 10:00:21,2026-03-23 10:00:31,NORMAL
2026-03-23 10:00:31,2026-03-23 10:00:41,NORMAL
2026-03-23 10:00:41,2026-03-23 10:00:51,LOSS
2026-03-23 10:00:51,2026-03-23 10:01:01,NORMAL
2026-03-23 10:01:01,2026-03-23 10:01:11,NORMAL
2026-03-23 10:01:11,2026-03-23 10:01:21,NORMAL
2026-03-23 10:01:21,2026-03-23 10:01:31,NORMAL
2026-03-23 10:01:31,2026-03-23 10:01:41,NORMAL
2026-03-23 10:01:41,2026-03-23 10:01:51,NORMAL
2026-03-23 10:01:51,2026-03-23 10:02:01,NORMAL
2026-03-23 10:02:01,2026-03-23 10:02:11,NORMAL
2026-03-23 10:02:11,2026-03-23 10:02:21,NORMAL
2026-03-23 10:02:21,2026-03-23 10:02:31,NORMAL
2026-03-23 10:02:31,2026-03-23 10:02:41,NORMAL
2026-03-23 10:02:41,2026-03-23 10:02:51,NORMAL
