date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,09:55:28.907189,10,0,1.6e-05,0.0,64,1,0,1
2026-03-23,09:55:29.107331,10,1,1.6e-05,0.200142,64,1,0,1
2026-03-23,09:55:29.307475,10,2,1.8e-05,0.200144,64,1,0,1
2026-03-23,09:55:29.507608,10,3,1.6e-05,0.200133,64,1,0,1
2026-03-23,09:55:29.707735,10,4,1.6e-05,0.200127,64,1,0,1
2026-03-23,09:55:29.907865,10,5,1.7e-05,0.20013,64,1,0,1
2026-03-23,09:55:30.107983,10,6,1.8e-05,0.200118,64,1,0,1
2026-03-23,09:55:30.308103,10,7,1.5e-05,0.20012,64,1,0,1
2026-03-23,09:55:30.508218,10,8,2.7e-05,0.200115,64,1,0,1
2026-03-23,09:55:30.708369,10,9,1.5e-05,0.200151,64,1,0,1
2026-03-23,09:55:30.908494,10,10,1.5e-05,0.200125,64,1,0,1
2026-03-23,09:55:31.108617,10,11,1.6e-05,0.200123,64,1,0,1
2026-03-23,09:55:31.308740,10,12,1.5e-05,0.200123,64,1,0,1
2026-03-23,09:55:31.508870,10,13,1.5e-05,0.20013,64,1,0,1
2026-03-23,09:55:31.731578,10,14,2.1e-05,0.222708,64,1,0,1
2026-03-23,09:55:31.983718,11,0,2e-05,0.25214,64,1,1,1
2026-03-23,09:55:32.183832,11,1,1.7e-05,0.200114,64,1,0,1
2026-03-23,09:55:32.386463,11,2,2.6e-05,0.202631,64,1,0,1
2026-03-23,09:55:32.586621,11,3,1.7e-05,0.200158,64,1,0,1
2026-03-23,09:55:32.786754,11,4,1.5e-05,0.200133,64,1,0,1
2026-03-23,09:55:32.986900,11,5,1.7e-05,0.200146,64,1,0,1
2026-03-23,09:55:33.187024,11,6,1.5e-05,0.200124,64,1,0,1
2026-03-23,09:55:33.387177,11,7,1.6e-05,0.200153,64,1,0,1
2026-03-23,09:55:33.587306,11,8,1.6e-05,0.200129,64,1,0,1
2026-03-23,09:55:33.787465,11,9,1.7e-05,0.200159,64,1,0,1
2026-03-23,09:55:33.987624,11,10,1.7e-05,0.200159,64,1,0,1
2026-03-23,09:55:34.187764,11,11,1.5e-05,0.20014,64,1,0,1
2026-03-23,09:55:34.439758,12,0,1.7e-05,0.251994,64,1,1,1
2026-03-23,09:55:34.639898,12,1,1.9e-05,0.20014,64,1,0,1
2026-03-23,09:55:34.840055,12,2,1.6e-05,0.200157,64,1,0,1
2026-03-23,09:55:35.040226,12,3,4.1e-05,0.200171,64,1,0,1
2026-03-23,09:55:35.240563,12,4,1.8e-05,0.200337,64,1,0,1
